Cluster/FaktorT;Cluster Nr.;Tag Nr.;ta;direkte Str.;diffuse Str.;Windgeschw.;Anzahl Tage;Datum;TRY2017;ORT
C4/T1;1;229;19,7;105;96;3;110;17.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T1;2;324;6,2;18;28;6;68;20.11.;TRY2015_524042130202_Sommer;Potsdam
C4/T1;3;286;12,4;0;35;3;103;13.10.;TRY2015_524042130202_Sommer;Potsdam
C4/T1;4;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,9646;1;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,9646;2;324;6,2;18;28;6;68;20.11.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,9646;3;286;12,4;0;35;3;103;13.10.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,9646;4;229;19,7;105;96;3;110;17.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,98;1;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,98;2;286;12,4;0;35;3;103;13.10.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,98;3;324;6,2;18;28;6;68;20.11.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,98;4;229;19,7;105;96;3;110;17.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,96;1;286;12,4;0;35;3;103;13.10.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,96;2;229;19,7;105;96;3;110;17.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,96;3;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,96;4;324;6,2;18;28;6;68;20.11.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,94;1;324;6,2;18;28;6;70;20.11.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,94;2;281;12,6;50;48;6;104;8.10.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,94;3;229;19,7;105;96;3;107;17.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,94;4;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,9;1;324;6,2;18;28;6;70;20.11.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,9;2;229;19,7;105;96;3;107;17.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,9;3;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,9;4;281;12,6;50;48;6;104;8.10.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,85;1;229;19,7;105;96;3;107;17.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,85;2;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,85;3;324;6,2;18;28;6;70;20.11.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,85;4;281;12,6;50;48;6;104;8.10.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,8;1;229;19,7;105;96;3;107;17.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,8;2;281;12,6;50;48;6;105;8.10.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,8;3;324;6,2;18;28;6;69;20.11.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,8;4;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,75;1;240;15,2;71;97;5;118;28.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,75;2;338;8,2;7;21;7;96;4.12.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,75;3;68;-0,8;3;44;5;96;9.3.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,75;4;193;23,2;211;106;4;55;12.7.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,7;1;338;8,2;7;21;7;96;4.12.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,7;2;240;15,2;71;97;5;118;28.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,7;3;68;-0,8;3;44;5;96;9.3.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,7;4;193;23,2;211;106;4;55;12.7.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,6;1;338;8,2;7;21;7;84;4.12.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,6;2;240;15,2;71;97;5;128;28.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,6;3;193;23,2;211;106;4;54;12.7.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,6;4;44;-0,1;3;34;3;99;13.2.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,5;1;44;-0,1;3;34;3;100;13.2.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,5;2;338;8,2;7;21;7;84;4.12.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,5;3;240;15,2;71;97;5;122;28.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,5;4;231;20,9;202;62;4;59;19.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,4;1;44;-0,1;3;34;3;97;13.2.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,4;2;240;15,2;71;97;5;126;28.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,4;3;231;20,9;202;62;4;53;19.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,4;4;338;8,2;7;21;7;89;4.12.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,33;1;240;15,2;71;97;5;117;28.8.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,33;2;338;8,2;7;21;7;91;4.12.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,33;3;44;-0,1;3;34;3;95;13.2.;TRY2015_524042130202_Sommer;Potsdam
C4/T0,33;4;132;18,1;216;88;3;62;12.5.;TRY2015_524042130202_Sommer;Potsdam
C3/T1;1;43;-0,4;14;45;3;108;12.2.;TRY2015_524042130202_Sommer;Potsdam
C3/T1;2;293;10,3;3;31;4;126;20.10.;TRY2015_524042130202_Sommer;Potsdam
C3/T1;3;249;19,0;38;105;4;131;6.9.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,9646;1;249;19,0;38;105;4;131;6.9.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,9646;2;293;10,3;3;31;4;126;20.10.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,9646;3;43;-0,4;14;45;3;108;12.2.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,98;1;43;-0,4;14;45;3;108;12.2.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,98;2;249;19,0;38;105;4;131;6.9.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,98;3;293;10,3;3;31;4;126;20.10.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,96;1;43;-0,4;14;45;3;108;12.2.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,96;2;249;19,0;38;105;4;131;6.9.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,96;3;293;10,3;3;31;4;126;20.10.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,9;1;249;19,0;38;105;4;131;6.9.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,9;2;293;10,3;3;31;4;126;20.10.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,9;3;43;-0,4;14;45;3;108;12.2.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,8;1;288;9,6;3;46;3;125;15.10.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,8;2;43;-0,4;14;45;3;102;12.2.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,8;3;273;17,9;76;67;4;138;30.9.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,75;1;68;-0,8;3;44;5;100;9.3.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,75;2;288;9,6;3;46;3;127;15.10.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,75;3;273;17,9;76;67;4;138;30.9.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,7;1;42;-0,1;4;35;4;106;11.2.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,7;2;273;17,9;76;67;4;138;30.9.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,7;3;288;9,6;3;46;3;121;15.10.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,6;1;44;-0,1;3;34;3;106;13.2.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,6;2;288;9,6;3;46;3;116;15.10.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,6;3;273;17,9;76;67;4;143;30.9.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,5;1;273;17,9;76;67;4;146;30.9.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,5;2;44;-0,1;3;34;3;107;13.2.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,5;3;288;9,6;3;46;3;112;15.10.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,4;1;271;15,7;38;79;3;139;28.9.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,4;2;12;2,1;13;28;3;158;12.1.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,4;3;132;18,1;216;88;3;68;12.5.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,33;1;132;18,1;216;88;3;62;12.5.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,33;2;240;15,2;71;97;5;134;28.8.;TRY2015_524042130202_Sommer;Potsdam
C3/T0,33;3;353;3,0;5;19;4;169;19.12.;TRY2015_524042130202_Sommer;Potsdam
C5/T1;1;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C5/T1;2;324;6,2;18;28;6;66;20.11.;TRY2015_524042130202_Sommer;Potsdam
C5/T1;3;236;17,3;81;120;3;92;24.8.;TRY2015_524042130202_Sommer;Potsdam
C5/T1;4;321;11,3;3;26;6;81;17.11.;TRY2015_524042130202_Sommer;Potsdam
C5/T1;5;211;23,6;143;119;4;42;30.7.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,9646;1;236;17,3;81;120;3;91;24.8.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,9646;2;211;23,6;143;119;4;42;30.7.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,9646;3;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,9646;4;324;6,2;18;28;6;66;20.11.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,9646;5;91;11,3;24;82;6;82;1.4.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,98;1;324;6,2;18;28;6;66;20.11.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,98;2;236;17,3;81;120;3;91;24.8.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,98;3;211;23,6;143;119;4;42;30.7.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,98;4;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,98;5;91;11,3;24;82;6;82;1.4.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,96;1;324;6,2;18;28;6;66;20.11.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,96;2;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,96;3;321;11,3;3;26;6;81;17.11.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,96;4;236;17,3;81;120;3;95;24.8.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,96;5;206;24,2;173;108;3;39;25.7.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,9;1;236;17,3;81;120;3;91;24.8.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,9;2;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,9;3;324;6,2;18;28;6;66;20.11.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,9;4;91;11,3;24;82;6;82;1.4.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,9;5;211;23,6;143;119;4;42;30.7.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,85;1;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,85;2;91;11,3;24;82;6;85;1.4.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,85;3;273;17,9;76;67;4;92;30.9.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,85;4;206;24,2;173;108;3;38;25.7.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,85;5;324;6,2;18;28;6;66;20.11.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,8;1;205;24,4;203;96;4;38;24.7.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,8;2;273;17,9;76;67;4;93;30.9.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,8;3;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,8;4;324;6,2;18;28;6;66;20.11.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,8;5;91;11,3;24;82;6;84;1.4.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,75;1;273;17,9;76;67;4;93;30.9.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,75;2;324;6,2;18;28;6;66;20.11.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,75;3;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,75;4;205;24,4;203;96;4;38;24.7.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,75;5;91;11,3;24;82;6;84;1.4.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,7;1;304;11,5;5;38;8;84;31.10.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,7;2;273;17,9;76;67;4;92;30.9.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,7;3;324;6,2;18;28;6;66;20.11.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,7;4;68;-0,8;3;44;5;84;9.3.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,7;5;205;24,4;203;96;4;39;24.7.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,6;1;273;17,9;76;67;4;95;30.9.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,6;2;91;11,3;24;82;6;78;1.4.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,6;3;337;7,1;15;21;7;60;3.12.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,6;4;205;24,4;203;96;4;37;24.7.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,6;5;44;-0,1;3;34;3;95;13.2.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,5;1;44;-0,1;3;34;3;99;13.2.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,5;2;193;23,2;211;106;4;46;12.7.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,5;3;87;10,9;36;93;6;65;28.3.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,5;4;273;17,9;76;67;4;85;30.9.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,5;5;338;8,2;7;21;7;70;4.12.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,4;1;87;10,9;36;93;6;72;28.3.;TRY2015_524042130202_Sommer;Potsdam
C5/T0,4;2;231;20,9;202;62;4;47;19.8.;TRY2015_524042130202_Sommer;Potsdam
