Cluster/FaktorT;Cluster Nr.;Tag Nr.;ta;direkte Str.;diffuse Str.;Windgeschw.;Anzahl Tage;Datum;TRY2017;ORT
C4/T1;1;244;13,6;39;81;5;104;1.9.;TRY2015_524042130202_Winter;Potsdam
C4/T1;2;49;-2,2;0;20;3;83;18.2.;TRY2015_524042130202_Winter;Potsdam
C4/T1;3;324;6;4;21;2;95;20.11.;TRY2015_524042130202_Winter;Potsdam
C4/T1;4;222;20,4;130;104;3;83;10.8.;TRY2015_524042130202_Winter;Potsdam
C4/T0,9646;1;244;13,6;39;81;5;104;1.9.;TRY2015_524042130202_Winter;Potsdam
C4/T0,9646;2;222;20,4;130;104;3;83;10.8.;TRY2015_524042130202_Winter;Potsdam
C4/T0,9646;3;49;-2,2;0;20;3;83;18.2.;TRY2015_524042130202_Winter;Potsdam
C4/T0,9646;4;324;6;4;21;2;95;20.11.;TRY2015_524042130202_Winter;Potsdam
C4/T0,98;1;324;6,0;4;21;2;95;20.11.;TRY2015_524042130202_Winter;Potsdam
C4/T0,98;2;222;20,4;130;104;3;83;10.8.;TRY2015_524042130202_Winter;Potsdam
C4/T0,98;3;244;13,6;39;81;5;104;1.9.;TRY2015_524042130202_Winter;Potsdam
C4/T0,98;4;49;-2,2;0;20;3;83;18.2.;TRY2015_524042130202_Winter;Potsdam
C4/T0,96;1;324;6;4;21;2;95;20.11.;TRY2015_524042130202_Winter;Potsdam
C4/T0,96;2;222;20,4;130;104;3;83;10.8.;TRY2015_524042130202_Winter;Potsdam
C4/T0,96;3;244;13,6;39;81;5;104;1.9.;TRY2015_524042130202_Winter;Potsdam
C4/T0,96;4;49;-2,2;0;20;3;83;18.2.;TRY2015_524042130202_Winter;Potsdam
C4/T0,94;1;324;6;4;21;2;95;20.11.;TRY2015_524042130202_Winter;Potsdam
C4/T0,94;2;244;13,6;39;81;5;104;1.9.;TRY2015_524042130202_Winter;Potsdam
C4/T0,94;3;49;-2,2;0;20;3;83;18.2.;TRY2015_524042130202_Winter;Potsdam
C4/T0,94;4;222;20,4;130;104;3;83;10.8.;TRY2015_524042130202_Winter;Potsdam
C4/T0,9;1;222;20,4;130;104;3;83;10.8.;TRY2015_524042130202_Winter;Potsdam
C4/T0,9;2;279;14,2;76;60;5;100;6.10.;TRY2015_524042130202_Winter;Potsdam
C4/T0,9;3;324;6;4;21;2;99;20.11.;TRY2015_524042130202_Winter;Potsdam
C4/T0,9;4;49;-2,2;0;20;3;83;18.2.;TRY2015_524042130202_Winter;Potsdam
C4/T0,85;1;49;-2,2;0;20;3;92;18.2.;TRY2015_524042130202_Winter;Potsdam
C4/T0,85;2;15;8,1;8;27;7;91;15.1.;TRY2015_524042130202_Winter;Potsdam
